premise	hypothesis	label
The offical language of the country Norway is Norwegian.	The offical language of the country Norway is Norwegian.	False
The offical language of the country Norway is Norwegian.	The offical language of the country Norway is Russian.	True
The offical language of the country Brazil is Portuguese.	The offical language of the country Brazil is Portuguese.	False
The offical language of the country Brazil is Portuguese.	The offical language of the country Brazil is Bangla.	True
The offical language of the country Costa Rica is Spanish.	The offical language of the country Costa Rica is Spanish.	False
The offical language of the country Costa Rica is Spanish.	The offical language of the country Costa Rica is German.	True
The offical language of the country Austria is German.	The offical language of the country Austria is German.	False
The offical language of the country Austria is German.	The offical language of the country Austria is Arabic.	True
The offical language of the country Lithuania is Lithuanian.	The offical language of the country Lithuania is Lithuanian.	False
The offical language of the country Lithuania is Lithuanian.	The offical language of the country Lithuania is Portuguese.	True
The offical language of the country Kyrgyzstan is Kyrgyz.	The offical language of the country Kyrgyzstan is Kyrgyz.	False
The offical language of the country Kyrgyzstan is Kyrgyz.	The offical language of the country Kyrgyzstan is Burmese.	True
The offical language of the country Laos is Lao.	The offical language of the country Laos is Lao.	False
The offical language of the country Laos is Lao.	The offical language of the country Laos is Russian.	True
The offical language of the country Vietnam is Vietnamese.	The offical language of the country Vietnam is Vietnamese.	False
The offical language of the country Vietnam is Vietnamese.	The offical language of the country Vietnam is English.	True
The offical language of the country Iceland is Icelandic.	The offical language of the country Iceland is Icelandic.	False
The offical language of the country Iceland is Icelandic.	The offical language of the country Iceland is English.	True
The offical language of the country United Arab Emirates is Arabic.	The offical language of the country United Arab Emirates is Arabic.	False
The offical language of the country United Arab Emirates is Arabic.	The offical language of the country United Arab Emirates is Russian.	True
The offical language of the country Thailand is Thai.	The offical language of the country Thailand is Thai.	False
The offical language of the country Thailand is Thai.	The offical language of the country Thailand is Uzbek.	True
The offical language of the country Belgium is Dutch.	The offical language of the country Belgium is Dutch.	False
The offical language of the country Belgium is Dutch.	The offical language of the country Belgium is English.	True
