premise	hypothesis	label
Daniel is in the bathroom.	Daniel is in the bedroom.	True
Daniel is in the garden.	Daniel is in the driveway.	True
Daniel is in the bedroom.	Daniel is in the driveway.	True
Sandra is in the garden.	Sandra is in the bedroom.	True
John is in the bathroom.	John is in the garden.	True
Mary is in the playground.	Mary is in the garden.	True
Sandra is in the kitchen.	Sandra is in the garden.	True
John is in the driveway.	John is in the bathroom.	True
Daniel is in the kitchen.	Daniel is in the garden.	True
Mary is in the driveway.	Mary is in the bedroom.	True
Daniel is in the garden.	Daniel is in the bedroom.	True
Sandra is in the driveway.	Sandra is in the playground.	True
John is in the playground.	John is in the driveway.	True
Daniel is in the kitchen.	Daniel is in the bathroom.	True
Mary is in the playground.	Mary is in the bedroom.	True
John is in the playground.	John is in the bedroom.	True
Sandra is in the bathroom.	Sandra is in the garden.	True
John is in the playground.	John is in the bathroom.	True
John is in the bathroom.	John is in the playground.	True
Sandra is in the bedroom.	Sandra is in the playground.	True
Sandra is in the bathroom.	Sandra is in the playground.	True
Mary is in the bedroom.	Mary is in the garden.	True
John is in the garden.	John is in the playground.	True
Mary is in the kitchen.	Mary is in the garden.	True
Sandra is in the playground.	Sandra is in the driveway.	True
Sandra is in the driveway.	Sandra is in the kitchen.	True
John is in the driveway.	John is in the garden.	True
John is in the bedroom.	John is in the playground.	True
Sandra is in the playground.	Sandra is in the garden.	True
Daniel is in the playground.	Daniel is in the bathroom.	True
John is in the driveway.	John is in the bedroom.	True
Daniel is in the garden.	Daniel is in the kitchen.	True
Mary is in the kitchen.	Mary is in the bedroom.	True
Mary is in the bathroom.	Mary is in the driveway.	True
John is in the kitchen.	John is in the bathroom.	True
John is in the bedroom.	John is in the bathroom.	True
John is in the garden.	John is in the kitchen.	True
Mary is in the kitchen.	Mary is in the bathroom.	True
Mary is in the driveway.	Mary is in the playground.	True
Mary is in the bathroom.	Mary is in the bedroom.	True
Sandra is in the bedroom.	Sandra is in the kitchen.	True
Mary is in the bathroom.	Mary is in the garden.	True
Daniel is in the playground.	Daniel is in the bedroom.	True
John is in the driveway.	John is in the kitchen.	True
Daniel is in the driveway.	Daniel is in the playground.	True
Sandra is in the bathroom.	Sandra is in the kitchen.	True
John is in the garden.	John is in the driveway.	True
Mary is in the driveway.	Mary is in the kitchen.	True
Daniel is in the garden.	Daniel is in the bathroom.	True
John is in the kitchen.	John is in the bedroom.	True
Mary is in the kitchen.	Mary is in the driveway.	True
Mary is in the playground.	Mary is in the bathroom.	True
Daniel is in the playground.	Daniel is in the garden.	True
